statDate,views
08.06.2016,5482892
07.06.2016,5474060
06.06.2016,5461588
05.06.2016,5451685
04.06.2016,5439827
03.06.2016,5429961
02.06.2016,5416966
01.06.2016,5405270
31.05.2016,5393574
30.05.2016,5383407
25.05.2016,5327557
24.05.2016,5316155
23.05.2016,5305921
22.05.2016,5289163
21.05.2016,5285069
20.05.2016,5273612
19.05.2016,5262471
18.05.2016,5250636
17.05.2016,5238761
16.05.2016,5223357
15.05.2016,5212403
14.05.2016,5201198
13.05.2016,5189601
12.05.2016,5179807
11.05.2016,5165948
10.05.2016,5155225
09.05.2016,5145353
08.05.2016,5132615
07.05.2016,5120438
06.05.2016,5108760
05.05.2016,5099739
04.05.2016,5091473
03.05.2016,5084223
02.05.2016,5073825
01.05.2016,5061956
30.04.2016,5049709
28.04.2016,5024482
27.04.2016,5012605
26.04.2016,5003638
25.04.2016,4996848
24.04.2016,4990543
23.04.2016,4983512
22.04.2016,4976282
21.04.2016,4969189
20.04.2016,4961806
19.04.2016,4954840
18.04.2016,4948703
15.04.2016,4928732
14.04.2016,4923491
13.04.2016,4913592
