statDate,views
28.04.2016,11877
27.04.2016,8967
26.04.2016,6790
25.04.2016,6305
24.04.2016,7031
23.04.2016,7230
22.04.2016,7093
21.04.2016,7383
20.04.2016,6966
19.04.2016,6137
18.04.2016,19971
15.04.2016,5241
14.04.2016,9899
13.04.2016,4913592
