statDate,views,id
06.02.2017,8525543,d2
01.02.2017,8481330,d1
24.01.2017,8423741,d3
17.01.2017,8340937,d1
09.01.2017,8187588,d3
06.01.2017,8134548,d1
01.01.2017,8061339,d2
26.12.2016,7967619,d2
20.12.2016,7881689,d2
30.11.2016,7598775,d2
28.11.2016,7583175,d1
26.11.2016,7567185,d0
24.11.2016,7544683,d3
23.11.2016,7529769,d1
18.11.2016,7452562,d1
15.11.2016,7405490,d2
10.11.2016,7335743,d1
06.10.2016,6878332,d0
12.09.2016,6626094,d2
08.09.2016,6581937,d3
06.09.2016,6549150,d0
02.09.2016,6486354,d2
30.08.2016,6446904,d2
29.08.2016,6436743,d0
26.08.2016,6377483,d0
14.08.2016,6234531,d1
06.08.2016,6144344,d3
03.08.2016,6102490,d3
25.07.2016,6016287,d3
23.07.2016,5995026,d2
22.07.2016,5982927,d2
21.07.2016,5974508,d2
19.07.2016,5949280,d3
18.07.2016,5939667,d2
16.07.2016,5917108,d2
14.07.2016,5897688,d2
13.07.2016,5882254,d2
12.07.2016,5874901,d0
11.07.2016,5860831,d1
10.07.2016,5850147,d1
09.07.2016,5838379,d2
07.07.2016,5819449,d1
06.07.2016,5802633,d2
05.07.2016,5790284,d1
04.07.2016,5778943,d0
03.07.2016,5767645,d1
02.07.2016,5757206,d3
01.07.2016,5745138,d1
30.06.2016,5733258,d0
29.06.2016,5722217,d1
28.06.2016,5710914,d3
27.06.2016,5700233,d1
26.06.2016,5692189,d0
25.06.2016,5677677,d2
24.06.2016,5666755,d1
23.06.2016,5654563,d3
22.06.2016,5643734,d0
21.06.2016,5632014,d1
20.06.2016,5623085,d3
19.06.2016,5610087,d0
18.06.2016,5598687,d0
17.06.2016,5587285,d1
14.06.2016,5549528,d1
13.06.2016,5542917,d2
12.06.2016,5532404,d1
11.06.2016,5519191,d0
10.06.2016,5507755,d2
09.06.2016,5497473,d2
08.06.2016,5482892,d1
07.06.2016,5474060,d1
06.06.2016,5461588,d2
05.06.2016,5451685,d1
04.06.2016,5439827,d0
03.06.2016,5429961,d1
02.06.2016,5416966,d2
01.06.2016,5405270,d1
31.05.2016,5393574,d3
30.05.2016,5383407,d2
25.05.2016,5327557,d0
24.05.2016,5316155,d2
23.05.2016,5305921,d1
22.05.2016,5289163,d2
21.05.2016,5285069,d2
20.05.2016,5273612,d2
19.05.2016,5262471,d3
18.05.2016,5250636,d2
17.05.2016,5238761,d3
16.05.2016,5223357,d2
15.05.2016,5212403,d2
14.05.2016,5201198,d2
13.05.2016,5189601,d2
12.05.2016,5179807,d0
11.05.2016,5165948,d0
10.05.2016,5155225,d2
09.05.2016,5145353,d1
08.05.2016,5132615,d1
07.05.2016,5120438,d3
06.05.2016,5108760,d3
05.05.2016,5099739,d3
04.05.2016,5091473,d1
03.05.2016,5084223,d2
02.05.2016,5073825,d2
01.05.2016,5061956,d1
30.04.2016,5049709,d2
28.04.2016,5024482,d3
27.04.2016,5012605,d1
26.04.2016,5003638,d3
25.04.2016,4996848,d3
24.04.2016,4990543,d3
23.04.2016,4983512,d2
22.04.2016,4976282,d1
21.04.2016,4969189,d1
20.04.2016,4961806,d3
19.04.2016,4954840,d3
18.04.2016,4948703,d1
15.04.2016,4928732,d2
14.04.2016,4923491,d1
13.04.2016,4913592,d1
